rulebook_id,check,status
AEGIS-RB-V31-GBPUSD-5M,server_evaluator_does_not_load_reference_ledger,PASS
AEGIS-RB-V31-GBPUSD-5M,uses_verified_v37_dataset,PASS
AEGIS-RB-V31-GBPUSD-5M,chronology_checked,PASS
AEGIS-RB-V31-GBPUSD-5M,completed_bar_signal,PASS
AEGIS-RB-V31-GBPUSD-5M,next_bar_ask_open_entry,PASS
AEGIS-RB-V31-GBPUSD-5M,causal_atr14,PASS
AEGIS-RB-V31-GBPUSD-5M,causal_structural_or_displacement_features,PASS
AEGIS-RB-V31-GBPUSD-5M,short_stop_bid_high,PASS
AEGIS-RB-V31-GBPUSD-5M,1_5_atr_initial_stop,PASS
AEGIS-RB-V31-GBPUSD-5M,plus_1R_break_even,PASS
AEGIS-RB-V31-GBPUSD-5M,0_75_atr_trailing_after_BE,PASS
AEGIS-RB-V31-GBPUSD-5M,72_bar_max_hold,PASS
AEGIS-RB-V31-GBPUSD-5M,0_085R_cost,PASS
AEGIS-RB-V31-GBPUSD-5M,one_position_at_a_time,PASS
AEGIS-RB-V31-GBPUSD-5M,no_final_test_selection_or_tuning,PASS
AEGIS-RB-V31-GBPUSD-5M,live_trading_disabled,PASS
AEGIS-RB-V31-GBPUSD-5M,signal_population_match,PASS
AEGIS-RB-V31-GBPUSD-5M,completed_trade_count_match,PASS
AEGIS-RB-V31-GBPUSD-5M,trade_event_sequence_match,PASS
AEGIS-RB-V31-GBPUSD-5M,trade_ledger_match_within_5e-13,PASS
AEGIS-RB-V35-GBPUSD-5M,server_evaluator_does_not_load_reference_ledger,PASS
AEGIS-RB-V35-GBPUSD-5M,uses_verified_v37_dataset,PASS
AEGIS-RB-V35-GBPUSD-5M,chronology_checked,PASS
AEGIS-RB-V35-GBPUSD-5M,completed_bar_signal,PASS
AEGIS-RB-V35-GBPUSD-5M,next_bar_ask_open_entry,PASS
AEGIS-RB-V35-GBPUSD-5M,causal_atr14,PASS
AEGIS-RB-V35-GBPUSD-5M,causal_structural_or_displacement_features,PASS
AEGIS-RB-V35-GBPUSD-5M,short_stop_bid_high,PASS
AEGIS-RB-V35-GBPUSD-5M,1_5_atr_initial_stop,PASS
AEGIS-RB-V35-GBPUSD-5M,plus_1R_break_even,PASS
AEGIS-RB-V35-GBPUSD-5M,0_75_atr_trailing_after_BE,PASS
AEGIS-RB-V35-GBPUSD-5M,72_bar_max_hold,PASS
AEGIS-RB-V35-GBPUSD-5M,0_085R_cost,PASS
AEGIS-RB-V35-GBPUSD-5M,one_position_at_a_time,PASS
AEGIS-RB-V35-GBPUSD-5M,no_final_test_selection_or_tuning,PASS
AEGIS-RB-V35-GBPUSD-5M,live_trading_disabled,PASS
AEGIS-RB-V35-GBPUSD-5M,signal_population_match,PASS
AEGIS-RB-V35-GBPUSD-5M,completed_trade_count_match,PASS
AEGIS-RB-V35-GBPUSD-5M,trade_event_sequence_match,PASS
AEGIS-RB-V35-GBPUSD-5M,trade_ledger_match_within_5e-13,PASS
