file,ts,p7_U,p7_M,p7_L,p8_U,p8_M,p8_L,rsi6_val,ma4_val,b1_U_val,b1_M_val,b1_L_val,LABEL,RULE_NAME,REASON
Screenshot_20260830-094047.png,20260830094047,347.125,373.0009765625,400.0000009536743,346.0078125,363.0078125,380.0078125,30.07,38.882,46.0878,41.1847,36.2816,HOLD,warming_up,Collecting frames (1/2). Need at least 2 for v3 rules.
Screenshot_20260830-094111.png,20260830094111,402.0078125,428.015625,450.125,398.00390625,427.0009765625,455.000244140625,29.7,38.246,45.4905,40.9037,36.3169,BUY,expansion_buy,"expansion=True, f7<f11=False, f8<f11=True"
Screenshot_20260830-094222.png,20260830094222,151.015625,190.0078125,230.0009765625,161.0000038146973,203.0000004768372,245.00000005960464,29.22,36.562,44.9441,40.5866,36.2291,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113122.png,20260830113122,379.00390625,411.015625,443.0625,361.7500009536743,418.0000009536743,453.0000009536743,68.19,61.571,66.7292,52.9791,39.229,BUY,expansion_buy,"expansion=True, f7<f11=True, f8<f11=True"
Screenshot_20260830-113135.png,20260830113135,144.0078125,234.0000001192093,324.0000000000009,167.00000000000043,263.0,359.0,68.19,61.571,66.7292,52.9791,39.229,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113155.png,20260830113155,119.001953125,176.00390625,232.015625,156.00000000093132,203.00001525878903,252.015625,68.19,61.571,66.7292,52.9791,39.229,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113237.png,20260830113237,107.015625,190.00000002980232,276.0,91.015625,143.00048828125,195.00001525878903,68.19,61.571,66.7292,52.9791,39.229,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113320.png,20260830113320,101.1328125,149.0000001192093,194.0000000037253,134.0,138.0,142.0,83.19,77.324,81.7457,66.1542,50.5627,HOLD,no_rule_matched,No v3 condition fully matched this frame (contraction).
Screenshot_20260830-113329.png,20260830113329,382.00006103515625,417.000244140625,451.001953125,370.0001220703125,403.00000190734863,435.0000001192093,82.33,77.2,81.7354,66.1506,50.5659,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113338.png,20260830113338,96.015625,135.0009765625,173.00003051757812,90.015625,112.00390625,135.0001220703125,83.43,77.357,81.7486,66.1552,50.5619,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113346.png,20260830113346,112.00006103515624,147.00390625,183.0625,107.00000005960464,149.00000001490116,190.0000000149012,82.64,77.244,81.739,66.1519,50.5648,BUY,expansion_buy,"expansion=True, f7<f11=True, f8<f11=True"
Screenshot_20260830-113355.png,20260830113355,250.03125,322.0078125,394.0,270.00000000000364,342.0000000000291,415.0000000000582,80.06,76.877,81.7084,66.1411,50.5738,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113403.png,20260830113403,161.00006103515625,200.00000095367432,238.00000002980232,243.0,247.0,251.0,78.23,77.447,80.8018,65.892,50.9822,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113410.png,20260830113410,366.0000009536743,395.00000381469727,430.0000004768372,361.0000000149012,381.00000381469727,400.0009765625,78.5,77.485,80.8053,65.8932,50.981,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113417.png,20260830113417,329.00001525878906,385.0000009536743,444.0000000149012,423.0,439.00000381469727,455.0000076293945,78.46,77.48,80.8048,65.893,50.9812,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113424.png,20260830113424,138.00000047683716,187.0000000149012,245.00000000000023,132.00000002980232,163.00000002980232,192.00000023841855,75.77,77.095,80.7708,65.8817,50.9926,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113432.png,20260830113432,191.50000003073364,246.03125,352.0000000000018,256.0,313.0,370.0000009536743,78.23,77.447,80.8018,65.892,50.9822,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113501.png,20260830113501,362.001953125,407.0009765625,451.0009765625,399.0000305175781,432.0001220703125,463.0078125,37.04,37.266,48.8638,36.5134,24.1629,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113511.png,20260830113511,352.00000381469727,393.00000190734863,435.0000009536743,387.0000000000018,416.0000000074506,446.00000381469727,35.28,37.085,48.9425,36.6876,24.4328,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113521.png,20260830113521,203.0001220703125,262.00000190734863,321.0000001192093,220.0000000001164,281.00000000186265,343.0000000149012,33.69,36.858,48.9354,36.681,24.4265,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113529.png,20260830113529,127.0009765625,141.015625,157.0625,133.00006103515625,146.00390625,163.0078125,34.0,36.901,48.9368,36.6822,24.4277,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113537.png,20260830113537,341.03125,358.0625,376.0078125,372.0000000009313,376.0000000009313,380.0000000009313,36.74,37.293,48.9493,36.6938,24.4382,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113544.png,20260830113544,117.500244140625,171.0040283203125,239.0000000001164,119.001953125,144.0078125,169.015625,35.34,37.094,48.9428,36.6879,24.433,SELL,rule_b_sell,"touches(f7,f10/f9)=14, f8_cross_up_f10=False, f8>=f10=True"
Screenshot_20260830-113552.png,20260830113552,314.0009765625,356.0000305175781,399.0000004768372,301.0078125,334.000244140625,368.00000190734863,34.28,36.941,48.938,36.6834,24.4288,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113559.png,20260830113559,97.00390625,140.00048828125,184.00001525878903,127.0000000000582,162.00000001490116,198.0000038146973,37.48,37.4,48.9529,36.6969,24.4409,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113605.png,20260830113605,170.001953125,234.00000762939453,297.0000002384186,150.03125,222.00006103515625,294.00000005960464,39.05,38.297,49.057,36.9408,24.8247,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113613.png,20260830113613,92.03125,138.00048828125,182.00003051757807,86.03125,113.0078125,139.0009765625,35.73,37.823,49.0396,36.9269,24.8141,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113622.png,20260830113622,258.03125,305.0625,353.03125,264.00000381469727,315.000244140625,365.015625,35.12,37.736,49.0366,36.9243,24.812,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113628.png,20260830113628,130.5234375,163.000244140625,209.00000000000043,120.00390625,135.015625,151.03125,35.82,37.835,49.0401,36.9272,24.8144,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113636.png,20260830113636,309.00006103515625,359.00000190734863,409.00000005960464,326.0000305175781,376.0000009536743,426.0000000298023,36.86,37.985,49.0454,36.9316,24.8179,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113656.png,20260830113656,464.0,468.0,472.0,111.50000002980232,173.00000190734863,213.00000762939453,34.48,45.618,60.7813,43.5988,26.4163,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113722.png,20260830113722,464.0,468.0,472.0,112.015625,193.0000038146973,276.0000000001164,24.29,40.578,60.4877,43.3487,26.2097,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
Screenshot_20260830-113729.png,20260830113729,464.0,468.0,472.0,359.5000305175781,450.001953125,466.03125,26.14,40.841,60.4923,43.3565,26.2206,HOLD,no_rule_matched,No v3 condition fully matched this frame (neutral).
