source_rulebook_id,target_instrument,timeframe,status,validation_trades,validation_pf,final_test_trades,final_test_pf,notes
AEGIS-RB-V31-GBPUSD-5M,EURUSD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,EURUSD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,USDJPY,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,USDJPY,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,GBPJPY,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,GBPJPY,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,EURGBP,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,EURGBP,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,AUDUSD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,AUDUSD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,NZDUSD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,NZDUSD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,USDCAD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,USDCAD,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,USDCHF,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V35-GBPUSD-5M,USDCHF,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
AEGIS-RB-V31-GBPUSD-5M,EURCHF,M5,DATA_NOT_AVAILABLE,0,0.0,0,0.0,No target Forex OHLC/Bid-Ask dataset found in mounted workspace or Library; no performance evaluation executed.
